Dataset,TD3+BC,AWAC,BC,CQL,IQL
halfcheetah-medium-expert-v2,6.83,59.04,63.44,83.45,86.0
halfcheetah-medium-replay-v2,44.26,43.37,36.3,43.54,41.97
halfcheetah-medium-v2,48.45,46.58,43.12,49.13,46.96
halfcheetah-random-v2,10.09,2.26,2.26,24.43,8.41
hopper-medium-expert-v2,69.92,111.88,44.53,111.0,49.18
hopper-medium-replay-v2,63.04,65.47,14.02,88.51,69.09
hopper-medium-v2,49.77,52.8,55.84,70.53,67.49
hopper-random-v2,8.13,9.18,2.26,6.2,7.63
walker2d-medium-expert-v2,108.33,1.98,107.58,109.98,98.51
walker2d-medium-replay-v2,76.8,82.54,24.63,73.31,63.12
walker2d-medium-v2,83.4,1.76,78.78,83.16,80.85
walker2d-random-v2,0.49,3.48,0.63,-0.12,7.82
